Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,32,6,Some Random Commen with Id 0
1,0,7,123,5,Some Random Commen with Id 1
2,0,7,163,9,Some Random Commen with Id 2
3,0,7,22,8,Some Random Commen with Id 3
4,0,7,11,5,Some Random Commen with Id 4
5,1,0,92,0,Some Random Commen with Id 5
6,1,0,153,1,Some Random Commen with Id 6
7,1,0,42,2,Some Random Commen with Id 7
8,1,0,49,2,Some Random Commen with Id 8
9,1,0,72,2,Some Random Commen with Id 9
10,2,6,33,2,Some Random Commen with Id 10
11,2,6,127,9,Some Random Commen with Id 11
12,2,6,13,1,Some Random Commen with Id 12
13,2,6,0,4,Some Random Commen with Id 13
14,2,6,117,8,Some Random Commen with Id 14
15,2,6,62,3,Some Random Commen with Id 15
16,3,0,117,3,Some Random Commen with Id 16
17,3,0,184,3,Some Random Commen with Id 17
18,3,0,58,2,Some Random Commen with Id 18
19,3,0,64,0,Some Random Commen with Id 19
20,3,0,133,5,Some Random Commen with Id 20
21,3,0,2,7,Some Random Commen with Id 21
22,3,0,165,2,Some Random Commen with Id 22
23,4,1,0,1,Some Random Commen with Id 23
24,4,1,161,2,Some Random Commen with Id 24
25,4,1,170,9,Some Random Commen with Id 25
26,4,1,28,1,Some Random Commen with Id 26
27,4,1,146,6,Some Random Commen with Id 27
28,4,1,17,6,Some Random Commen with Id 28
29,4,1,197,0,Some Random Commen with Id 29
30,4,1,86,1,Some Random Commen with Id 30
31,5,0,180,2,Some Random Commen with Id 31
32,5,0,68,8,Some Random Commen with Id 32
33,5,0,161,7,Some Random Commen with Id 33
34,5,0,182,5,Some Random Commen with Id 34
35,5,0,20,5,Some Random Commen with Id 35
36,5,0,40,5,Some Random Commen with Id 36
37,6,6,96,4,Some Random Commen with Id 37
38,6,6,99,2,Some Random Commen with Id 38
39,6,6,100,3,Some Random Commen with Id 39
40,7,5,164,6,Some Random Commen with Id 40
41,7,5,41,6,Some Random Commen with Id 41
42,7,5,180,8,Some Random Commen with Id 42
43,7,5,193,9,Some Random Commen with Id 43
44,7,5,95,0,Some Random Commen with Id 44
45,7,5,45,5,Some Random Commen with Id 45
46,8,5,43,5,Some Random Commen with Id 46
47,9,3,98,2,Some Random Commen with Id 47
48,9,3,30,7,Some Random Commen with Id 48
49,9,3,105,7,Some Random Commen with Id 49
50,9,3,131,9,Some Random Commen with Id 50
51,9,3,52,2,Some Random Commen with Id 51
52,10,6,184,5,Some Random Commen with Id 52
53,10,6,113,9,Some Random Commen with Id 53
54,10,6,192,0,Some Random Commen with Id 54
55,10,6,17,3,Some Random Commen with Id 55
56,10,6,184,5,Some Random Commen with Id 56
57,11,1,135,3,Some Random Commen with Id 57
58,11,1,64,0,Some Random Commen with Id 58
59,11,1,162,5,Some Random Commen with Id 59
60,11,1,186,0,Some Random Commen with Id 60
61,12,8,154,9,Some Random Commen with Id 61
62,12,8,87,9,Some Random Commen with Id 62
63,12,8,133,3,Some Random Commen with Id 63
64,12,8,151,1,Some Random Commen with Id 64
65,12,8,183,2,Some Random Commen with Id 65
66,12,8,103,4,Some Random Commen with Id 66
67,12,8,199,2,Some Random Commen with Id 67
68,12,8,194,5,Some Random Commen with Id 68
69,12,8,101,1,Some Random Commen with Id 69
70,13,1,84,3,Some Random Commen with Id 70
71,13,1,148,8,Some Random Commen with Id 71
72,13,1,11,1,Some Random Commen with Id 72
73,13,1,81,7,Some Random Commen with Id 73
74,13,1,5,8,Some Random Commen with Id 74
75,13,1,176,7,Some Random Commen with Id 75
76,13,1,128,6,Some Random Commen with Id 76
